lat,lng,area,year_bulit,price
37.5001456,126.9276301,22.68,2003,9500
37.4874945,126.9069458,62.43,2006,30600
37.4874945,126.9069458,41.48,2006,24000
37.4874945,126.9069458,41.48,2006,24000
37.4874945,126.9069458,41.48,2006,25000
37.5477616,126.9542583,27.74,2013,23800
37.5477616,126.9542583,27.74,2013,23850
37.5477616,126.9542583,32.07,2013,26350
37.5477616,126.9542583,38.15,2013,29400
37.5439055,126.9500857,29.33,2004,25000
37.549819,126.9544103,31.38,2005,20000
37.549819,126.9544103,49.37,2005,27900
37.549819,126.9544103,53.06,2005,29300
37.549819,126.9544103,53.06,2005,28300
37.549819,126.9544103,46.48,2005,28100
37.549819,126.9544103,31.38,2005,22500
37.5500794,126.960357,22.68,2002,9900
37.5546037,126.9355657,21.61,2006,20500
37.5548286,126.9354119,22.79,1999,12300
37.5534438,126.9375155,28.32,1999,12700
37.5540915,126.9367687,18.72,2006,13900
37.5562734,126.944382,28.8,2013,26400
37.5562734,126.944382,29.14,2013,26000
37.5562734,126.944382,28.5,2013,26900
37.5563232,126.9437113,32.64,2000,17200
37.5403996,126.94778,20.25,1988,10000
37.5417844,126.9502507,25.56,2015,24800
37.5417844,126.9502507,26.25,2015,23900
37.5400923,126.9455111,28.71,2004,22500
37.5400923,126.9455111,33.93,2004,30000
37.5400923,126.9455111,31.41,2004,21000
37.5400923,126.9455111,33.93,2004,27500
37.5400923,126.9455111,33.93,2004,27500
37.5414452,126.9472424,80.3,2006,50900
37.5414452,126.9472424,55.92,2006,43000
37.5414452,126.9472424,55.92,2006,42000
37.5560789,126.9234513,92.6,1999,49500
37.5584685,126.9251894,32.92,2004,22000
37.5584685,126.9251894,32.92,2004,21500
37.5363126,126.9439279,26.4,1992,10000
37.5485022,126.9234636,47.09,2007,34000
37.5770753,126.8913958,98.87,2007,49800
37.5833972,126.8808669,24.2,2014,17600
37.5495499,126.9148162,29.09,2004,20900
37.5495499,126.9148162,29.09,2004,22000
37.5565276,126.914791,26.96,2002,14850
37.5555638,126.914975,28.14,2001,16400
37.565119,126.9126298,23.76,2004,10000
37.564238,126.9033166,65.96,2005,33000
37.5428571,126.9524607,40.85,2011,32000
37.5453065,126.9553318,15.89,2012,12800
37.5435331,126.9540848,59.68,2011,42000
37.5519975,126.9565092,35.09,2006,21150
37.5525109,126.9568006,33.28,2005,18000
37.5525109,126.9568006,35.91,2005,20000
37.5698412,126.9105017,17.22,2002,8100
37.5584246,126.9450578,20.3,2015,18467
37.5584246,126.9450578,20.3,2015,18467
37.5580369,126.9431588,28.22,2005,18900
37.5580369,126.9431588,28.22,2005,19000
37.5580369,126.9431588,26.64,2005,18400
37.5580369,126.9431588,26.64,2005,18300
37.5568756,126.942499,28.3,2014,26450
37.5574337,126.9425509,27.4,2014,25800
37.5571719,126.9469873,24.29,2004,15500
37.5836324,126.9111217,24.84,2004,9800
37.5836324,126.9111217,21.75,2004,9400
37.5732576,126.9351123,17.16,2004,8900
37.5637704,126.9289337,16.2,2001,10500
37.5709192,126.930009,20.39,2002,9550
